,Country_Name,Country_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
22,Bosnia and Herzegovina,BIH,60.353,61.019,61.646,62.243,62.818000000000005,63.381,63.94,64.499,65.059,65.62100000000001,66.187,66.756,67.32,67.867,68.39,68.872,69.296,69.657,69.954,70.193,70.399,70.601,70.82,71.061,71.315,71.53399999999999,71.65,71.626,71.461,71.184,70.877,70.645,70.577,70.725,71.093,71.645,72.307,72.976,73.569,74.05,74.403,74.637,74.803,74.941,75.068,75.19800000000001,75.342,75.498,75.665,75.844,76.031,76.219,76.40100000000001,76.569,76.723,76.865,76.998,77.128
23,Belarus,BLR,67.7080975609756,68.2126585365854,68.63582926829271,68.9920731707317,69.2899268292683,69.5374146341464,69.7346097560976,69.88165853658539,69.9826341463415,70.0451463414634,70.079243902439,70.093,70.0924146341464,70.0824390243902,70.06807317073171,70.04826829268289,70.0159024390244,69.9674146341464,69.9063170731707,69.84163414634149,69.8020243902439,69.8191707317073,69.9082195121951,70.0646585365854,70.2719268292683,70.9926829268293,71.549512195122,70.990243902439,71.34146341463409,71.4829268292683,70.83658536585371,70.37804878048779,70.0219512195122,68.9707317073171,68.7682926829268,68.4609756097561,68.5121951219512,68.4609756097561,68.4073170731707,67.9073170731707,68.9121951219512,68.5073170731707,68.0560975609756,68.5536585365854,68.95609756097559,68.8512195121951,69.4048780487805,70.2073170731707,70.45609756097559,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,74.12926829268291
24,Belize,BLZ,59.981,60.531000000000006,61.092,61.663000000000004,62.24100000000001,62.823,63.402,63.971000000000004,64.525,65.058,65.566,66.047,66.50399999999999,66.939,67.354,67.751,68.135,68.509,68.874,69.229,69.577,69.921,70.257,70.575,70.865,71.11,71.294,71.405,71.437,71.38600000000001,71.242,70.99600000000001,70.66199999999999,70.268,69.845,69.439,69.1,68.858,68.734,68.734,68.847,69.04,69.27199999999999,69.51100000000001,69.749,69.998,70.286,70.63600000000001,71.059,71.541,72.057,72.57,73.044,73.452,73.782,74.03399999999999,74.219,74.365
25,Bermuda,BMU,,,,,,68.8978048780488,,,,,70.29,,,,,,,,,,72.3046341463415,,,,,,,,,,,74.02951219512201,,,,,,,,,77.8853658536585,77.8853658536585,78.0878048780488,78.33414634146341,78.48536585365859,78.6853658536586,78.8878048780488,78.9341463414634,79.2365853658537,79.3884390243903,79.2885365853658,81.1526829268293,81.6778048780488,80.5724390243902,80.7973170731707,81.0121951219512,81.2270731707317,81.4419512195122
26,Bolivia,BOL,41.82,42.15,42.49,42.84,43.199,43.568000000000005,43.946999999999996,44.336999999999996,44.736999999999995,45.147,45.568000000000005,45.998999999999995,46.441,46.893,47.355,47.828,48.312,48.806000000000004,49.31,49.824,50.349,50.883,51.427,51.98,52.543,53.115,53.695,54.284,54.881,55.486000000000004,56.099,56.721000000000004,57.351000000000006,57.989,58.631,59.276,59.922,60.566,61.20399999999999,61.835,62.452,63.053999999999995,63.64,64.21,64.766,65.312,65.85300000000001,66.395,66.937,67.476,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945
27,Brazil,BRA,54.143,54.63399999999999,55.13,55.626999999999995,56.121,56.61,57.091,57.563,58.025,58.475,58.911,59.332,59.739,60.132,60.513000000000005,60.88399999999999,61.243,61.595,61.942,62.286,62.63,62.976000000000006,63.326,63.68,64.039,64.406,64.782,65.165,65.553,65.947,66.343,66.742,67.141,67.539,67.932,68.318,68.695,69.061,69.419,69.76899999999999,70.116,70.462,70.813,71.17,71.531,71.896,72.26,72.618,72.96600000000001,73.3,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456
28,Barbados,BRB,64.472,65.19800000000001,65.831,66.381,66.86,67.275,67.628,67.928,68.187,68.421,68.65,68.89,69.149,69.436,69.756,70.113,70.509,70.931,71.36399999999999,71.8,72.222,72.618,72.98,73.303,73.585,73.825,74.029,74.206,74.372,74.53399999999999,74.704,74.892,75.101,75.332,75.583,75.852,76.131,76.41,76.68,76.933,77.16199999999999,77.362,77.53399999999999,77.682,77.808,77.915,78.009,78.097,78.184,78.27199999999999,78.36399999999999,78.456,78.547,78.633,78.717,78.801,78.888,78.98100000000001
29,Brunei Darussalam,BRN,54.81,55.81,56.805,57.756,58.638000000000005,59.434,60.147,60.803000000000004,61.422,62.013000000000005,62.582,63.13399999999999,63.67100000000001,64.196,64.709,65.209,65.696,66.164,66.61,67.031,67.425,67.786,68.117,68.421,68.7,68.96,69.208,69.45,69.691,69.935,70.185,70.439,70.696,70.95100000000001,71.207,71.465,71.727,71.994,72.265,72.538,72.809,73.07600000000001,73.332,73.575,73.801,74.006,74.189,74.351,74.494,74.623,74.74,74.852,74.962,75.075,75.193,75.318,75.45,75.585
30,Bhutan,BTN,34.525999999999996,34.889,35.29,35.734,36.22,36.745,37.303000000000004,37.882,38.469,39.056999999999995,39.635,40.194,40.735,41.263000000000005,41.784,42.31100000000001,42.861000000000004,43.446999999999996,44.077,44.751000000000005,45.464,46.20399999999999,46.95399999999999,47.702,48.442,49.173,49.901,50.632,51.372,52.122,52.878,53.633,54.38399999999999,55.131,55.878,56.636,57.418,58.236000000000004,59.089,59.974,60.88399999999999,61.808,62.728,63.623999999999995,64.483,65.289,66.031,66.709,67.325,67.882,68.384,68.84,69.263,69.66199999999999,70.046,70.419,70.781,71.12899999999999
31,Botswana,BWA,49.178999999999995,49.684,50.17100000000001,50.641000000000005,51.099,51.547,51.99100000000001,52.435,52.885,53.346000000000004,53.824,54.327,54.853,55.398,55.957,56.523999999999994,57.091,57.648999999999994,58.18600000000001,58.692,59.174,59.647,60.108999999999995,60.543,60.916000000000004,61.167,61.227,61.059,60.651,60.016000000000005,59.191,58.232,57.218999999999994,56.222,55.284,54.41,53.571999999999996,52.748999999999995,51.946999999999996,51.214,50.629,50.281000000000006,50.232,50.518,51.15,52.13,53.435,54.983000000000004,56.678999999999995,58.446999999999996,60.211000000000006,61.91,63.511,64.976,66.265,67.33800000000001,68.178,68.812
32,Central African Republic,CAF,36.249,36.715,37.19,37.683,38.201,38.754,39.355,40.005,40.703,41.443999999999996,42.223,43.036,43.86600000000001,44.695,45.504,46.275,46.992,47.648,48.233000000000004,48.736999999999995,49.153,49.476000000000006,49.713,49.872,49.955,49.966,49.912,49.797,49.623999999999995,49.397,49.104,48.728,48.266999999999996,47.731,47.143,46.53,45.922,45.353,44.857,44.461000000000006,44.19,44.06100000000001,44.063,44.181999999999995,44.413000000000004,44.744,45.158,45.636,46.161,46.718999999999994,47.312,47.95,48.638000000000005,49.371,50.129,50.881,51.593,52.24
33,Canada,CAN,71.1331707317073,71.3460975609756,71.3670731707317,71.3807317073171,71.7763414634146,71.8721951219512,72.0043902439024,72.2078048780488,72.3534146341463,72.50146341463409,72.7004878048781,73.0292682926829,72.93390243902441,73.1626829268293,73.2375609756098,73.52170731707321,73.85609756097558,74.21560975609759,74.52975609756099,74.8663414634146,75.07804878048779,75.4634146341463,75.7634146341463,76.0658536585366,76.21707317073171,76.36829268292679,76.519512195122,76.71951219512201,76.91951219512201,77.119512195122,77.42195121951221,77.62195121951221,77.7243902439024,77.8243902439025,77.8268292682927,78.0292682926829,78.1804878048781,78.4317073170732,78.6341463414634,78.8853658536585,79.1365853658537,79.3390243902439,79.490243902439,79.7414634146342,79.8926829268293,80.1926829268293,80.3439024390244,80.54390243902441,80.6951219512195,80.9951219512195,81.2463414634146,81.44878048780491,81.64878048780491,81.74878048780491,81.8,81.9,82.142243902439,82.2489756097561
34,Central Europe and the Baltics,CEB,67.8213886391755,68.2621983438663,68.0069256418108,68.696047369717,69.05248453887529,69.2769975955159,69.52707193397801,69.27274218769901,69.5360253048841,69.27573420198141,69.4469550552236,69.4851657458499,69.9254412645743,70.06777719208961,70.30593936929719,70.1744086942295,70.3191488957891,70.2423731482793,70.14793210613949,70.2393969939587,69.8902444461581,70.37146867325599,70.4551334703053,70.3896117725316,70.3490172357522,70.31275917503861,70.5649178179144,70.6117633312342,70.861708225052,70.7319722597484,70.65633133725859,70.5752213034774,70.7328371314157,70.8459866151448,70.86954394474729,71.02542142828909,71.33605801899509,71.51725806968221,71.8982376759956,72.1845610740875,72.71972472277899,73.0961481937343,73.24241548809209,73.3822527825258,73.73715299612759,73.8383001838611,74.09260273080979,74.25064872107691,74.57595267807791,74.93036392665759,75.29396577863142,75.8884748834282,75.99348860345309,76.3551629869808,76.6756236113045,76.5910702431929,76.9889398347238,77.03396590629491
35,Switzerland,CHE,71.3134146341463,71.6448780487805,71.19609756097559,71.1875609756098,72.0778048780488,72.2017073170732,72.3356097560976,72.6365853658537,72.590243902439,72.6126829268293,73.020243902439,73.1307317073171,73.6443902439025,73.9409756097561,74.2870731707317,74.6656097560976,74.7853658536585,75.2380487804878,75.1873170731707,75.46609756097558,75.459268292683,75.6931707317073,76.03390243902442,76.0312195121951,76.60853658536591,76.73365853658541,76.89902439024391,77.1975609756098,77.2265853658537,77.4212195121951,77.24243902439021,77.51463414634149,77.80609756097559,78.08536585365859,78.35,78.41707317073171,78.89609756097559,79.079512195122,79.3243902439025,79.58048780487799,79.6804878048781,80.1804878048781,80.3853658536585,80.5365853658537,81.0878048780488,81.2365853658537,81.490243902439,81.7414634146342,81.9926829268293,82.04390243902441,82.24634146341471,82.6951219512195,82.6975609756098,82.7975609756098,83.1975609756098,82.89756097560979,83.60243902439029,83.60243902439029
36,Channel Islands,CHI,70.73899999999999,70.833,70.928,71.03,71.143,71.265,71.391,71.512,71.623,71.726,71.82300000000001,71.919,72.02,72.133,72.26100000000001,72.40899999999999,72.58,72.773,72.983,73.208,73.439,73.668,73.89,74.101,74.3,74.486,74.66,74.829,75.00399999999999,75.192,75.41,75.673,75.988,76.351,76.755,77.184,77.616,78.028,78.406,78.742,79.03699999999999,79.3,79.548,79.795,80.045,80.298,80.553,80.80199999999999,81.041,81.268,81.483,81.688,81.883,82.071,82.25200000000001,82.429,82.6,82.766
37,Chile,CHL,57.218999999999994,57.61600000000001,58.031000000000006,58.467,58.927,59.415,59.931000000000004,60.474,61.044,61.637,62.254,62.895,63.555,64.23100000000001,64.917,65.609,66.307,67.005,67.69800000000001,68.378,69.033,69.655,70.23899999999999,70.782,71.282,71.737,72.148,72.524,72.872,73.19800000000001,73.509,73.808,74.1,74.38600000000001,74.671,74.957,75.244,75.53,75.813,76.092,76.366,76.634,76.89399999999999,77.146,77.391,77.63,77.865,78.09899999999999,78.33,78.558,78.779,78.986,79.176,79.34899999999999,79.50399999999999,79.646,79.779,79.90899999999999
38,China,CHN,43.725,44.051,44.783,45.972,47.592,49.549,51.696000000000005,53.847,55.843,57.603,59.085,60.303000000000004,61.343999999999994,62.281000000000006,63.13399999999999,63.915,64.631,65.278,65.857,66.377,66.844,67.26,67.627,67.949,68.23100000000001,68.473,68.673,68.831,68.954,69.054,69.145,69.242,69.355,69.49600000000001,69.67,69.885,70.14,70.428,70.737,71.063,71.39699999999999,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.40899999999999,74.708,75.013,75.321,75.62899999999999,75.928,76.21,76.47
39,Cote d'Ivoire,CIV,36.095,36.948,37.78,38.583,39.358000000000004,40.115,40.873000000000005,41.647,42.449,43.276,44.123000000000005,44.979,45.824,46.64,47.418,48.147,48.825,49.456,50.041000000000004,50.57899999999999,51.071999999999996,51.525,51.94,52.31399999999999,52.645,52.922,53.138999999999996,53.286,53.357,53.35,53.254,53.062,52.778999999999996,52.423,52.013000000000005,51.568999999999996,51.108999999999995,50.657,50.242,49.891000000000005,49.635,49.495,49.475,49.571999999999996,49.788000000000004,50.12,50.56100000000001,51.091,51.681999999999995,52.313,52.964,53.62,54.271,54.906000000000006,55.508,56.065,56.567,57.016999999999996
40,Cameroon,CMR,41.785,42.255,42.721000000000004,43.181999999999995,43.638999999999996,44.095,44.555,45.025,45.50899999999999,46.008,46.523,47.053000000000004,47.593,48.135,48.675,49.205,49.718999999999994,50.213,50.681999999999995,51.123000000000005,51.537,51.933,52.312,52.67,52.997,53.273,53.476000000000006,53.591,53.611000000000004,53.536,53.361999999999995,53.088,52.738,52.343,51.93600000000001,51.553999999999995,51.238,51.00899999999999,50.885,50.878,50.993,51.222,51.536,51.908,52.321000000000005,52.76,53.215,53.681000000000004,54.153,54.626999999999995,55.101000000000006,55.581,56.073,56.576,57.083,57.583,58.063,58.511
41,"Congo, Dem. Rep.",COD,41.098,41.312,41.528999999999996,41.755,41.995,42.257,42.549,42.868,43.208,43.563,43.915,44.247,44.545,44.803999999999995,45.026,45.222,45.41,45.608999999999995,45.833,46.086000000000006,46.363,46.651,46.937,47.208,47.461000000000006,47.705,47.955,48.221000000000004,48.501999999999995,48.787,49.043,49.225,49.31100000000001,49.302,49.22,49.111000000000004,49.04,49.066,49.233000000000004,49.556999999999995,50.041000000000004,50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.35,56.909,57.427,57.913999999999994,58.381,58.828,59.254,59.655,60.026
