Year,Aruba
1960,65.662
1961,66.074
1962,66.444
1963,66.787
1964,67.113
1965,67.435
1966,67.762
1967,68.095
1968,68.436
1969,68.784
1970,69.14
1971,69.498
1972,69.851
1973,70.191
1974,70.519
1975,70.833
1976,71.14
1977,71.441
1978,71.736
1979,72.023
1980,72.293
1981,72.538
1982,72.751
1983,72.929
1984,73.071
1985,73.181
1986,73.262
1987,73.325
1988,73.378
1989,73.425
1990,73.468
1991,73.509
1992,73.544
1993,73.573
1994,73.598
1995,73.622
1996,73.646
1997,73.671
1998,73.7
1999,73.738
2000,73.787
2001,73.853
2002,73.937
2003,74.038
2004,74.156
2005,74.287
2006,74.429
2007,74.576
2008,74.725
2009,74.872
2010,75.017
2011,75.158
2012,75.299
2013,75.441
2014,75.583
2015,75.725
2016,75.868
2017,76.01
Country_Name,Afghanistan
1960,32.446
1961,32.962
1962,33.471
1963,33.971
1964,34.463
1965,34.948
1966,35.43
1967,35.914
1968,36.403
1969,36.9
1970,37.409
1971,37.93
1972,38.461
1973,39.003
1974,39.558
1975,40.128
1976,40.715
1977,41.32
1978,41.944
1979,42.585
1980,43.244
1981,43.923
1982,44.617
1983,45.324
1984,46.04
1985,46.761
1986,47.486
1987,48.211
1988,48.93
1989,49.64
1990,50.331
1991,50.999
1992,51.641
1993,52.256
1994,52.842
1995,53.398
1996,53.924
1997,54.424
1998,54.906
1999,55.376
2000,55.841
2001,56.308
2002,56.784
2003,57.271
2004,57.772
2005,58.29
2006,58.826
2007,59.375
2008,59.93
2009,60.484
2010,61.028
2011,61.553
2012,62.054
2013,62.525
2014,62.966
2015,63.377
2016,63.763
2017,64.13
Country_Name,Angola
1960,37.524
1961,37.811
1962,38.113
1963,38.43
1964,38.76
1965,39.102
1966,39.454
1967,39.813
1968,40.178
1969,40.546
1970,40.914
1971,41.282
1972,41.65
1973,42.016
1974,42.374
1975,42.721
1976,43.053
1977,43.367
1978,43.66
1979,43.931
1980,44.178
1981,44.404
1982,44.611
1983,44.799
1984,44.966
1985,45.107
1986,45.213
1987,45.283
1988,45.317
1989,45.324
1990,45.306
1991,45.271
1992,45.23
1993,45.201
1994,45.201
1995,45.246
1996,45.35
1997,45.519
1998,45.763
1999,46.093
2000,46.522
2001,47.059
2002,47.702
2003,48.44
2004,49.263
2005,50.165
2006,51.143
2007,52.177
2008,53.243
2009,54.311
2010,55.35
2011,56.33
2012,57.236
2013,58.054
2014,58.776
2015,59.398
2016,59.925
2017,60.379
Country_Name,Albania
1960,62.283
1961,63.301
1962,64.19
1963,64.914
1964,65.463
1965,65.85
1966,66.11
1967,66.304
1968,66.487
1969,66.689
1970,66.935
1971,67.237
1972,67.582
1973,67.953
1974,68.343
1975,68.736
1976,69.11
1977,69.448
1978,69.742
1979,69.991
1980,70.208
1981,70.416
1982,70.635
1983,70.876
1984,71.134
1985,71.388
1986,71.605
1987,71.76
1988,71.843
1989,71.86
1990,71.836
1991,71.803
1992,71.802
1993,71.86
1994,71.992
1995,72.205
1996,72.495
1997,72.838
1998,73.208
1999,73.587
2000,73.955
2001,74.288
2002,74.579
2003,74.828
2004,75.039
2005,75.228
2006,75.423
2007,75.646
2008,75.912
2009,76.221
2010,76.562
2011,76.914
2012,77.252
2013,77.554
2014,77.813
2015,78.025
2016,78.194
2017,78.333
Country_Name,Arab World
1960,46.54690889
1961,47.14162088
1962,47.73178332
1963,48.32043196
1964,48.91001854
1965,49.49647844
1966,50.07294683
1967,50.63441533
1968,51.1820997
1969,51.72202361
1970,52.26421043
1971,52.8229318
1972,53.40688731
1973,54.01585439
1974,54.64286658
1975,55.27798846
1976,55.90961232
1977,56.52807641
1978,57.13390025
1979,57.73485953
1980,58.34502343
1981,58.97735932
1982,59.63599732
1983,60.31627713
1984,61.0037611
1985,61.67681575
1986,62.3141203
1987,62.90134584
1988,63.429687
1989,63.89898142
1990,64.35157697
1991,64.73634052
1992,65.04385197
1993,65.41490735
1994,65.78565252
1995,66.19609985
1996,66.55410287
1997,66.89714496
1998,67.21809146
1999,67.51768895
2000,67.80059112
2001,68.07251852
2002,68.34024599
2003,68.61050538
2004,68.88618772
2005,69.1646828
2006,69.43945919
2007,69.70155465
2008,69.94217427
2009,70.15756004
2010,70.34991623
2011,70.5287748
2012,70.7038266
2013,70.88225374
2014,71.06429243
2015,71.24957141
2016,71.43649684
2017,71.62252633
Country_Name,United Arab Emirates
1960,51.537
1961,52.56
1962,53.573
1963,54.572
1964,55.555
1965,56.523
1966,57.482
1967,58.432
1968,59.375
1969,60.304
1970,61.215
1971,62.099
1972,62.949
1973,63.759
1974,64.525
1975,65.244
1976,65.916
1977,66.545
1978,67.137
1979,67.692
1980,68.213
1981,68.701
1982,69.158
1983,69.585
1984,69.986
1985,70.363
1986,70.717
1987,71.049
1988,71.361
1989,71.657
1990,71.939
1991,72.208
1992,72.466
1993,72.715
1994,72.957
1995,73.194
1996,73.428
1997,73.657
1998,73.883
1999,74.106
2000,74.327
2001,74.544
2002,74.758
2003,74.968
2004,75.174
2005,75.376
2006,75.573
2007,75.767
2008,75.957
2009,76.145
2010,76.332
2011,76.521
2012,76.711
2013,76.903
2014,77.095
2015,77.285
2016,77.47
2017,77.647
Country_Name,Argentina
1960,65.055
1961,65.176
1962,65.269
1963,65.348
1964,65.426
1965,65.518
1966,65.64
1967,65.796
1968,65.989
1969,66.219
1970,66.483
1971,66.774
1972,67.078
1973,67.383
1974,67.686
1975,67.985
1976,68.283
1977,68.585
1978,68.891
1979,69.197
1980,69.496
1981,69.777
1982,70.033
1983,70.262
1984,70.466
1985,70.65
1986,70.825
1987,71.001
1988,71.186
1989,71.384
1990,71.594
1991,71.813
1992,72.032
1993,72.246
1994,72.453
1995,72.651
1996,72.843
1997,73.029
1998,73.213
1999,73.396
2000,73.576
2001,73.755
2002,73.932
2003,74.107
2004,74.28
2005,74.451
2006,74.62
2007,74.787
2008,74.952
2009,75.116
2010,75.278
2011,75.439
2012,75.598
2013,75.756
2014,75.913
2015,76.068
2016,76.221
2017,76.372
Country_Name,Armenia
1960,65.972
1961,66.403
1962,66.838
1963,67.277
1964,67.716
1965,68.153
1966,68.588
1967,69.016
1968,69.427
1969,69.809
1970,70.144
1971,70.412
1972,70.605
1973,70.723
1974,70.775
1975,70.783
1976,70.783
1977,70.798
1978,70.838
1979,70.897
1980,70.937
1981,70.91
1982,70.776
1983,70.519
1984,70.15
1985,69.698
1986,69.205
1987,68.732
1988,68.332
1989,68.038
1990,67.879
1991,67.87
1992,67.99
1993,68.218
1994,68.538
1995,68.938
1996,69.404
1997,69.912
1998,70.434
1999,70.944
2000,71.409
2001,71.8
2002,72.112
2003,72.348
2004,72.513
2005,72.626
2006,72.716
2007,72.815
2008,72.946
2009,73.118
2010,73.331
2011,73.572
2012,73.82
2013,74.056
2014,74.273
2015,74.467
2016,74.64
2017,74.797
Country_Name,Antigua and Barbuda
1960,61.968
1961,62.523
1962,63.049
1963,63.54
1964,63.992
1965,64.401
1966,64.762
1967,65.081
1968,65.363
1969,65.616
1970,65.847
1971,66.066
1972,66.28
1973,66.498
1974,66.727
1975,66.975
1976,67.244
1977,67.533
1978,67.837
1979,68.154
1980,68.482
1981,68.818
1982,69.156
1983,69.491
1984,69.82
1985,70.137
1986,70.44
1987,70.728
1988,71.004
1989,71.267
1990,71.52
1991,71.765
1992,72.006
1993,72.247
1994,72.489
1995,72.732
1996,72.977
1997,73.222
1998,73.465
1999,73.705
2000,73.94
2001,74.171
2002,74.395
2003,74.613
2004,74.821
2005,75.019
2006,75.204
2007,75.376
2008,75.535
2009,75.683
2010,75.823
2011,75.956
2012,76.087
2013,76.218
2014,76.349
2015,76.483
2016,76.617
2017,76.752
Country_Name,Australia
1960,70.81707317
1961,70.97317073
1962,70.94243902
1963,70.91170732
1964,70.88097561
1965,70.8502439
1966,70.8195122
1967,70.86926829
1968,70.91902439
1969,70.96878049
1970,71.01853659
1971,71.06829268
1972,71.45756098
1973,71.84682927
1974,72.23609756
1975,72.62536585
1976,73.01463415
1977,73.34439024
1978,73.67414634
1979,74.00390244
1980,74.33365854
1981,74.66341463
1982,74.90487805
1983,75.14634146
1984,75.38780488
1985,75.62926829
1986,75.87073171
1987,76.15170732
1988,76.43268293
1989,76.71365854
1990,76.99463415
1991,77.27560976
1992,77.37804878
1993,77.87804878
1994,77.87804878
1995,77.82926829
1996,78.07804878
1997,78.4804878
1998,78.63170732
1999,78.93170732
2000,79.23414634
2001,79.63414634
2002,79.93658537
2003,80.23902439
2004,80.4902439
2005,80.84146341
2006,81.04146341
2007,81.29268293
2008,81.39512195
2009,81.54390244
2010,81.69512195
2011,81.89512195
2012,82.04634146
2013,82.14878049
2014,82.3
2015,82.4
2016,82.44878049
2017,82.49756098
Country_Name,Austria
1960,68.58560976
1961,69.57731707
1962,69.3095122
1963,69.44365854
1964,69.92195122
1965,69.72219512
1966,70.04585366
1967,69.91780488
1968,70.05756098
1969,69.83317073
1970,69.91463415
1971,70.11463415
1972,70.46341463
1973,71.01463415
1974,71.01219512
1975,71.11463415
1976,71.56585366
1977,71.91463415
1978,72.01219512
1979,72.31219512
1980,72.46341463
1981,72.81219512
1982,72.96097561
1983,73.01219512
1984,73.61219512
1985,73.81463415
1986,74.31707317
1987,74.76829268
1988,75.21707317
1989,75.26585366
1990,75.56829268
1991,75.61707317
1992,75.81707317
1993,76.06829268
1994,76.4195122
1995,76.66829268
1996,76.87073171
1997,77.3195122
1998,77.67073171
1999,77.87560976
2000,78.12682927
2001,78.57560976
2002,78.67804878
2003,78.63170732
2004,79.1804878
2005,79.33170732
2006,79.8804878
2007,80.1804878
2008,80.43170732
2009,80.33170732
2010,80.5804878
2011,80.98292683
2012,80.93658537
2013,81.13658537
2014,81.4902439
2015,81.1902439
2016,81.64146341
2017,81.64146341
Country_Name,Azerbaijan
1960,61.034
1961,61.256
1962,61.469
1963,61.679
1964,61.889
1965,62.104
1966,62.322
1967,62.539
1968,62.75
1969,62.953
1970,63.141
1971,63.31
1972,63.457
1973,63.582
1974,63.687
1975,63.776
1976,63.852
1977,63.921
1978,63.992
1979,64.069
1980,64.161
1981,64.28
1982,64.425
1983,64.587
1984,64.759
1985,64.913
1986,65.016
1987,65.053
1988,65.021
1989,64.935
1990,64.827
1991,64.745
1992,64.731
1993,64.81
1994,64.991
1995,65.256
1996,65.573
1997,65.899
1998,66.207
1999,66.491
2000,66.763
2001,67.054
2002,67.391
2003,67.791
2004,68.249
2005,68.747
2006,69.259
2007,69.752
2008,70.201
2009,70.597
2010,70.938
2011,71.234
2012,71.506
2013,71.768
2014,72.022
2015,72.266
2016,72.493
2017,72.693
Country_Name,Burundi
1960,41.281
1961,41.592
1962,41.907
1963,42.225
1964,42.54
1965,42.838
1966,43.105
1967,43.332
1968,43.523
1969,43.685
1970,43.841
1971,44.021
1972,44.246
1973,44.528
1974,44.865
1975,45.242
1976,45.63
1977,45.999
1978,46.327
1979,46.608
1980,46.852
1981,47.083
1982,47.324
1983,47.581
1984,47.844
1985,48.08
1986,48.243
1987,48.301
1988,48.244
1989,48.08
1990,47.829
1991,47.522
1992,47.212
1993,46.953
1994,46.786
1995,46.758
1996,46.905
1997,47.226
1998,47.708
1999,48.339
2000,49.091
2001,49.93
2002,50.81
2003,51.69
2004,52.547
2005,53.369
2006,54.163
2007,54.944
2008,55.721
2009,56.488
2010,57.228
2011,57.925
2012,58.568
2013,59.148
2014,59.665
2015,60.123
2016,60.528
2017,60.898
Country_Name,Belgium
1960,69.70195122
1961,70.52097561
1962,70.2195122
1963,70.05146341
1964,70.75512195
1965,70.62536585
1966,70.70634146
1967,71.01292683
1968,70.69317073
1969,70.76487805
1970,70.97195122
1971,71.0604878
1972,71.40512195
1973,71.63536585
1974,71.98585366
1975,71.97121951
1976,72.1197561
1977,72.77390244
1978,72.69804878
1979,73.19365854
1980,73.20707317
1981,73.62170732
1982,73.88804878
1983,73.86902439
1984,74.40487805
1985,74.5202439
1986,74.73170732
1987,75.36585366
1988,75.56585366
1989,75.63268293
1990,76.05195122
1991,76.19219512
1992,76.35121951
1993,76.34536585
1994,76.69170732
1995,76.84073171
1996,77.18731707
1997,77.37073171
1998,77.47317073
1999,77.6195122
2000,77.72195122
2001,77.97317073
2002,78.07560976
2003,78.12926829
2004,78.87804878
2005,78.9804878
2006,79.3804878
2007,79.78292683
2008,79.6804878
2009,80.03414634
2010,80.18292683
2011,80.58536585
2012,80.38536585
2013,80.58780488
2014,81.28780488
2015,80.99268293
2016,81.43902439
2017,81.43902439
Country_Name,Benin
1960,37.271
1961,37.727
1962,38.188
1963,38.655
1964,39.13
1965,39.615
1966,40.109
1967,40.61
1968,41.117
1969,41.63
1970,42.152
1971,42.684
1972,43.229
1973,43.781
1974,44.337
1975,44.882
1976,45.399
1977,45.883
1978,46.335
1979,46.764
1980,47.19
1981,47.643
1982,48.145
1983,48.71
1984,49.339
1985,50.034
1986,50.79
1987,51.581
1988,52.372
1989,53.132
1990,53.812
1991,54.366
1992,54.776
1993,55.042
1994,55.174
1995,55.203
1996,55.17
1997,55.133
1998,55.139
1999,55.218
2000,55.391
2001,55.668
2002,56.025
2003,56.436
2004,56.887
2005,57.355
2006,57.817
2007,58.255
2008,58.654
2009,59.009
2010,59.318
2011,59.59
2012,59.842
2013,60.092
2014,60.345
2015,60.608
2016,60.885
2017,61.174
Country_Name,Burkina Faso
1960,34.432
1961,34.897
1962,35.369
1963,35.847
1964,36.331
1965,36.815
1966,37.291
1967,37.754
1968,38.207
1969,38.652
1970,39.095
1971,39.542
1972,40.003
1973,40.493
1974,41.025
1975,41.63
1976,42.343
1977,43.166
1978,44.081
1979,45.06
1980,46.049
1981,46.984
1982,47.81
1983,48.486
1984,48.992
1985,49.323
1986,49.492
1987,49.55
1988,49.545
1989,49.505
1990,49.454
1991,49.409
1992,49.374
1993,49.36
1994,49.38
1995,49.445
1996,49.557
1997,49.713
1998,49.914
1999,50.168
2000,50.489
2001,50.893
2002,51.384
2003,51.956
2004,52.602
2005,53.31
2006,54.063
2007,54.841
2008,55.618
2009,56.377
2010,57.096
2011,57.761
2012,58.374
2013,58.937
2014,59.45
2015,59.919
2016,60.354
2017,60.768
Country_Name,Bangladesh
1960,45.379
1961,45.97
1962,46.557
1963,47.126
1964,47.649
1965,48.05
1966,48.236
1967,48.176
1968,47.888
1969,47.432
1970,46.942
1971,46.589
1972,46.507
1973,46.773
1974,47.396
1975,48.313
1976,49.402
1977,50.498
1978,51.473
1979,52.277
1980,52.9
1981,53.376
1982,53.794
1983,54.225
1984,54.693
1985,55.21
1986,55.772
1987,56.359
1988,56.958
1989,57.571
1990,58.21
1991,58.891
1992,59.618
1993,60.388
1994,61.19
1995,62.002
1996,62.798
1997,63.553
1998,64.25
1999,64.881
2000,65.447
2001,65.956
2002,66.43
2003,66.886
2004,67.331
2005,67.773
2006,68.213
2007,68.648
2008,69.072
2009,69.485
2010,69.881
2011,70.256
2012,70.606
2013,70.93
2014,71.231
2015,71.514
2016,71.785
2017,72.052
Country_Name,Bulgaria
1960,69.24756098
1961,70.19560976
1962,69.49195122
1963,70.30926829
1964,71.12121951
1965,71.29390244
1966,71.22341463
1967,70.41390244
1968,71.22512195
1969,70.43
1970,71.25634146
1971,70.87365854
1972,70.8995122
1973,71.34219512
1974,71.20804878
1975,71.0497561
1976,71.39487805
1977,70.81609756
1978,71.18463415
1979,71.30829268
1980,71.15756098
1981,71.57195122
1982,71.18609756
1983,71.38634146
1984,71.4997561
1985,71.22804878
1986,71.73073171
1987,71.52682927
1988,71.60439024
1989,71.72243902
1990,71.64146341
1991,71.56097561
1992,71.49439024
1993,71.34682927
1994,71.20878049
1995,71.05341463
1996,70.89731707
1997,70.35121951
1998,71.06097561
1999,71.41219512
2000,71.66341463
2001,71.76829268
2002,71.86585366
2003,72.06585366
2004,72.56341463
2005,72.56097561
2006,72.61219512
2007,72.66341463
2008,72.96341463
2009,73.41219512
2010,73.51219512
2011,74.16341463
2012,74.31463415
2013,74.86097561
2014,74.46585366
2015,74.61463415
2016,74.81219512
2017,74.81219512
Country_Name,Bahrain
1960,51.869
1961,53.235
1962,54.59
1963,55.911
1964,57.182
1965,58.388
1966,59.524
1967,60.596
1968,61.609
1969,62.56
1970,63.449
1971,64.275
1972,65.042
1973,65.757
1974,66.421
1975,67.04
1976,67.616
1977,68.152
1978,68.651
1979,69.117
1980,69.55
1981,69.951
1982,70.317
1983,70.651
1984,70.957
1985,71.237
1986,71.496
1987,71.736
1988,71.962
1989,72.178
1990,72.39
1991,72.598
1992,72.803
1993,73.006
1994,73.209
1995,73.413
1996,73.619
1997,73.826
1998,74.033
1999,74.239
2000,74.44
2001,74.635
2002,74.822
2003,74.999
2004,75.167
2005,75.326
2006,75.478
2007,75.625
2008,75.77
2009,75.913
2010,76.057
2011,76.2
2012,76.342
2013,76.484
2014,76.624
2015,76.762
2016,76.899
2017,77.032
Country_Name,"Bahamas, The"
1960,64.74
1961,64.885
1962,65.011
1963,65.121
1964,65.219
1965,65.31
1966,65.402
1967,65.499
1968,65.607
1969,65.73
1970,65.87
1971,66.031
1972,66.209
1973,66.397
1974,66.593
1975,66.785
1976,66.962
1977,67.118
1978,67.253
1979,67.372
1980,67.488
1981,67.615
1982,67.769
1983,67.962
1984,68.196
1985,68.474
1986,68.793
1987,69.139
1988,69.496
1989,69.854
1990,70.199
1991,70.518
1992,70.807
1993,71.061
1994,71.276
1995,71.451
1996,71.589
1997,71.698
1998,71.786
1999,71.858
2000,71.914
2001,71.954
2002,71.977
2003,71.986
2004,71.988
2005,71.987
2006,71.988
2007,71.998
2008,72.022
2009,72.067
2010,72.144
2011,72.263
2012,72.424
2013,72.62
2014,72.847
2015,73.088
2016,73.329
2017,73.554
Country_Name,Bosnia and Herzegovina
1960,60.353
1961,61.019
1962,61.646
1963,62.243
1964,62.818
1965,63.381
1966,63.94
1967,64.499
1968,65.059
1969,65.621
1970,66.187
1971,66.756
1972,67.32
1973,67.867
1974,68.39
1975,68.872
1976,69.296
1977,69.657
1978,69.954
1979,70.193
1980,70.399
1981,70.601
1982,70.82
1983,71.061
1984,71.315
1985,71.534
1986,71.65
1987,71.626
1988,71.461
1989,71.184
1990,70.877
1991,70.645
1992,70.577
1993,70.725
1994,71.093
1995,71.645
1996,72.307
1997,72.976
1998,73.569
1999,74.05
2000,74.403
2001,74.637
2002,74.803
2003,74.941
2004,75.068
2005,75.198
2006,75.342
2007,75.498
2008,75.665
2009,75.844
2010,76.031
2011,76.219
2012,76.401
2013,76.569
2014,76.723
2015,76.865
2016,76.998
2017,77.128
Country_Name,Belarus
1960,67.70809756
1961,68.21265854
1962,68.63582927
1963,68.99207317
1964,69.28992683
1965,69.53741463
1966,69.73460976
1967,69.88165854
1968,69.98263415
1969,70.04514634
1970,70.0792439
1971,70.093
1972,70.09241463
1973,70.08243902
1974,70.06807317
1975,70.04826829
1976,70.01590244
1977,69.96741463
1978,69.90631707
1979,69.84163415
1980,69.80202439
1981,69.81917073
1982,69.90821951
1983,70.06465854
1984,70.27192683
1985,70.99268293
1986,71.5495122
1987,70.9902439
1988,71.34146341
1989,71.48292683
1990,70.83658537
1991,70.37804878
1992,70.02195122
1993,68.97073171
1994,68.76829268
1995,68.46097561
1996,68.51219512
1997,68.46097561
1998,68.40731707
1999,67.90731707
2000,68.91219512
2001,68.50731707
2002,68.05609756
2003,68.55365854
2004,68.95609756
2005,68.85121951
2006,69.40487805
2007,70.20731707
2008,70.45609756
2009,70.40731707
2010,70.40487805
2011,70.55365854
2012,71.96585366
2013,72.47073171
2014,72.97073171
2015,73.62439024
2016,73.82682927
2017,74.12926829
Country_Name,Belize
1960,59.981
1961,60.531
1962,61.092
1963,61.663
1964,62.241
1965,62.823
1966,63.402
1967,63.971
1968,64.525
1969,65.058
1970,65.566
1971,66.047
1972,66.504
1973,66.939
1974,67.354
1975,67.751
1976,68.135
1977,68.509
1978,68.874
1979,69.229
1980,69.577
1981,69.921
1982,70.257
1983,70.575
1984,70.865
1985,71.11
1986,71.294
1987,71.405
1988,71.437
1989,71.386
1990,71.242
1991,70.996
1992,70.662
1993,70.268
1994,69.845
1995,69.439
1996,69.1
1997,68.858
1998,68.734
1999,68.734
2000,68.847
2001,69.04
2002,69.272
2003,69.511
2004,69.749
2005,69.998
2006,70.286
2007,70.636
2008,71.059
2009,71.541
2010,72.057
2011,72.57
2012,73.044
2013,73.452
2014,73.782
2015,74.034
2016,74.219
2017,74.365
Country_Name,Bermuda
1965,68.89780488
1970,70.29
1980,72.30463415
1991,74.0295122
2000,77.88536585
2001,77.88536585
2002,78.08780488
2003,78.33414634
2004,78.48536585
2005,78.68536585
2006,78.88780488
2007,78.93414634
2008,79.23658537
2009,79.38843902
2010,79.28853659
2011,81.15268293
2012,81.67780488
2013,80.57243902
2014,80.79731707
2015,81.01219512
2016,81.22707317
2017,81.44195122
Country_Name,Bolivia
1960,41.82
1961,42.15
1962,42.49
1963,42.84
1964,43.199
1965,43.568
1966,43.947
1967,44.337
1968,44.737
1969,45.147
1970,45.568
1971,45.999
1972,46.441
1973,46.893
1974,47.355
1975,47.828
1976,48.312
1977,48.806
1978,49.31
1979,49.824
1980,50.349
1981,50.883
1982,51.427
1983,51.98
1984,52.543
1985,53.115
1986,53.695
1987,54.284
1988,54.881
1989,55.486
1990,56.099
1991,56.721
1992,57.351
1993,57.989
1994,58.631
1995,59.276
1996,59.922
1997,60.566
1998,61.204
1999,61.835
2000,62.452
2001,63.054
2002,63.64
2003,64.21
2004,64.766
2005,65.312
2006,65.853
2007,66.395
2008,66.937
2009,67.476
2010,68.007
2011,68.521
2012,69.01
2013,69.468
2014,69.891
2015,70.277
2016,70.626
2017,70.945
Country_Name,Brazil
1960,54.143
1961,54.634
1962,55.13
1963,55.627
1964,56.121
1965,56.61
1966,57.091
1967,57.563
1968,58.025
1969,58.475
1970,58.911
1971,59.332
1972,59.739
1973,60.132
1974,60.513
1975,60.884
1976,61.243
1977,61.595
1978,61.942
1979,62.286
1980,62.63
1981,62.976
1982,63.326
1983,63.68
1984,64.039
1985,64.406
1986,64.782
1987,65.165
1988,65.553
1989,65.947
1990,66.343
1991,66.742
1992,67.141
1993,67.539
1994,67.932
1995,68.318
1996,68.695
1997,69.061
1998,69.419
1999,69.769
2000,70.116
2001,70.462
2002,70.813
2003,71.17
2004,71.531
2005,71.896
2006,72.26
2007,72.618
2008,72.966
2009,73.3
2010,73.619
2011,73.921
2012,74.209
2013,74.483
2014,74.745
2015,74.994
2016,75.23
2017,75.456
Country_Name,Barbados
1960,64.472
1961,65.198
1962,65.831
1963,66.381
1964,66.86
1965,67.275
1966,67.628
1967,67.928
1968,68.187
1969,68.421
1970,68.65
1971,68.89
1972,69.149
1973,69.436
1974,69.756
1975,70.113
1976,70.509
1977,70.931
1978,71.364
1979,71.8
1980,72.222
1981,72.618
1982,72.98
1983,73.303
1984,73.585
1985,73.825
1986,74.029
1987,74.206
1988,74.372
1989,74.534
1990,74.704
1991,74.892
1992,75.101
1993,75.332
1994,75.583
1995,75.852
1996,76.131
1997,76.41
1998,76.68
1999,76.933
2000,77.162
2001,77.362
2002,77.534
2003,77.682
2004,77.808
2005,77.915
2006,78.009
2007,78.097
2008,78.184
2009,78.272
2010,78.364
2011,78.456
2012,78.547
2013,78.633
2014,78.717
2015,78.801
2016,78.888
2017,78.981
Country_Name,Brunei Darussalam
1960,54.81
1961,55.81
1962,56.805
1963,57.756
1964,58.638
1965,59.434
1966,60.147
1967,60.803
1968,61.422
1969,62.013
1970,62.582
1971,63.134
1972,63.671
1973,64.196
1974,64.709
1975,65.209
1976,65.696
1977,66.164
1978,66.61
1979,67.031
1980,67.425
1981,67.786
1982,68.117
1983,68.421
1984,68.7
1985,68.96
1986,69.208
1987,69.45
1988,69.691
1989,69.935
1990,70.185
1991,70.439
1992,70.696
1993,70.951
1994,71.207
1995,71.465
1996,71.727
1997,71.994
1998,72.265
1999,72.538
2000,72.809
2001,73.076
2002,73.332
2003,73.575
2004,73.801
2005,74.006
2006,74.189
2007,74.351
2008,74.494
2009,74.623
2010,74.74
2011,74.852
2012,74.962
2013,75.075
2014,75.193
2015,75.318
2016,75.45
2017,75.585
Country_Name,Bhutan
1960,34.526
1961,34.889
1962,35.29
1963,35.734
1964,36.22
1965,36.745
1966,37.303
1967,37.882
1968,38.469
1969,39.057
1970,39.635
1971,40.194
1972,40.735
1973,41.263
1974,41.784
1975,42.311
1976,42.861
1977,43.447
1978,44.077
1979,44.751
1980,45.464
1981,46.204
1982,46.954
1983,47.702
1984,48.442
1985,49.173
1986,49.901
1987,50.632
1988,51.372
1989,52.122
1990,52.878
1991,53.633
1992,54.384
1993,55.131
1994,55.878
1995,56.636
1996,57.418
1997,58.236
1998,59.089
1999,59.974
2000,60.884
2001,61.808
2002,62.728
2003,63.624
2004,64.483
2005,65.289
2006,66.031
2007,66.709
2008,67.325
2009,67.882
2010,68.384
2011,68.84
2012,69.263
2013,69.662
2014,70.046
2015,70.419
2016,70.781
2017,71.129
Country_Name,Botswana
1960,49.179
1961,49.684
1962,50.171
1963,50.641
1964,51.099
1965,51.547
1966,51.991
1967,52.435
1968,52.885
1969,53.346
1970,53.824
1971,54.327
1972,54.853
1973,55.398
1974,55.957
1975,56.524
1976,57.091
1977,57.649
1978,58.186
1979,58.692
1980,59.174
1981,59.647
1982,60.109
1983,60.543
1984,60.916
1985,61.167
1986,61.227
1987,61.059
1988,60.651
1989,60.016
1990,59.191
1991,58.232
1992,57.219
1993,56.222
1994,55.284
1995,54.41
1996,53.572
1997,52.749
1998,51.947
1999,51.214
2000,50.629
2001,50.281
2002,50.232
2003,50.518
2004,51.15
2005,52.13
2006,53.435
2007,54.983
2008,56.679
2009,58.447
2010,60.211
2011,61.91
2012,63.511
2013,64.976
2014,66.265
2015,67.338
2016,68.178
2017,68.812
Country_Name,Central African Republic
1960,36.249
1961,36.715
1962,37.19
1963,37.683
1964,38.201
1965,38.754
1966,39.355
1967,40.005
1968,40.703
1969,41.444
1970,42.223
1971,43.036
1972,43.866
1973,44.695
1974,45.504
1975,46.275
1976,46.992
1977,47.648
1978,48.233
1979,48.737
1980,49.153
1981,49.476
1982,49.713
1983,49.872
1984,49.955
1985,49.966
1986,49.912
1987,49.797
1988,49.624
1989,49.397
1990,49.104
1991,48.728
1992,48.267
1993,47.731
1994,47.143
1995,46.53
1996,45.922
1997,45.353
1998,44.857
1999,44.461
2000,44.19
2001,44.061
2002,44.063
2003,44.182
2004,44.413
2005,44.744
2006,45.158
2007,45.636
2008,46.161
2009,46.719
2010,47.312
2011,47.95
2012,48.638
2013,49.371
2014,50.129
2015,50.881
2016,51.593
2017,52.24
Country_Name,Canada
1960,71.13317073
1961,71.34609756
1962,71.36707317
1963,71.38073171
1964,71.77634146
1965,71.87219512
1966,72.00439024
1967,72.20780488
1968,72.35341463
1969,72.50146341
1970,72.7004878
1971,73.02926829
1972,72.93390244
1973,73.16268293
1974,73.23756098
1975,73.52170732
1976,73.85609756
1977,74.21560976
1978,74.5297561
1979,74.86634146
1980,75.07804878
1981,75.46341463
1982,75.76341463
1983,76.06585366
1984,76.21707317
1985,76.36829268
1986,76.5195122
1987,76.7195122
1988,76.9195122
1989,77.1195122
1990,77.42195122
1991,77.62195122
1992,77.72439024
1993,77.82439024
1994,77.82682927
1995,78.02926829
1996,78.1804878
1997,78.43170732
1998,78.63414634
1999,78.88536585
2000,79.13658537
2001,79.33902439
2002,79.4902439
2003,79.74146341
2004,79.89268293
2005,80.19268293
2006,80.34390244
2007,80.54390244
2008,80.69512195
2009,80.99512195
2010,81.24634146
2011,81.44878049
2012,81.64878049
2013,81.74878049
2014,81.8
2015,81.9
2016,82.1422439
2017,82.24897561
Country_Name,Central Europe and the Baltics
1960,67.82138864
